title,score,ratings,maxInstalls,offersIAP,contentRating,adSupported,genre,n_stars_1,n_stars_2,n_stars_3,n_stars_4,n_stars_5,allow Wi-Fi Multicast reception,draw over other apps,view network connections,measure app storage space,retrieve system internal state,reroute outgoing calls,close other apps,access USB storage filesystem,add or modify calendar events and send email to guests without owners' knowledge,read your contacts,disable your screen lock,view Wi-Fi connections,read your Web bookmarks and history,run at startup,add words to user-defined dictionary,change your audio settings,read Google service configuration,delete all app cache data,precise location (GPS and network-based),read terms you added to the dictionary,full network access,connect and disconnect from Wi-Fi,toggle sync on and off,send SMS messages,control Near Field Communication,send sticky broadcast,pair with Bluetooth devices,take pictures and videos,body sensors (like heart rate monitors),change system display settings,record audio,set wallpaper,read sync settings,Google Play license check,access extra location provider commands,mock location sources for testing,read phone status and identity,modify your contacts,access Bluetooth settings,expand/collapse status bar,change network connectivity,control vibration,create accounts and set passwords,read calendar events plus confidential information,enable app debugging,prevent device from sleeping,read battery statistics,set an alarm,modify system settings,read sensitive log data,control flashlight,modify phone state,add or remove accounts,approximate location (network-based),use/find accounts on the device,read/edit your text messages (SMS or MMS),receive text messages (SMS/MMS),retrieve/reorder running apps,read/write call log,read/modify/delete the contents of your USB storage,install/uninstall shortcuts,read/modify own contact card,directly call phone/anyphone numbers
Sword Melter,4.164557,7994,1323185,1,Teen,1,Simulation,874,370,706,637,5394,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
All Video Downloader App,4.1659636,279725,52079010,1,Everyone,1,Video Players & Editors,37339,7829,18468,23206,192760,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
USAA SafePilot,4.168261,22844,434718,0,Everyone,0,Auto & Vehicles,2184,1131,1717,3425,14381,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Shield: Antivirus Launcher,4.1717353,22733,2271443,1,Everyone,1,Personalization,2652,416,1453,4056,14152,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1,1,0,0,0,0,1,1,0,0
Lingutown - Learn Languages,4.171875,1286,3234350,1,Everyone,1,Education,160,80,40,100,904,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Blood Pressure - Take Pill,4.172414,289,443989,0,Everyone,1,Health & Fitness,36,9,18,9,207,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
Messages: SMS Text App,4.174312,473,146595,0,Everyone,1,Personalization,55,16,30,51,316,0,0,1,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1
My Talking Tom 2,4.1755347,5307624,700125774,1,Everyone,1,Casual,613669,255821,335223,483254,3619582,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fluvsies - A Fluff to Luv,4.1777377,289082,80387174,1,Everyone,1,Educational,36326,13135,14701,23521,201362,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GPS Maps, Navigation & Traffic",4.1777935,310073,34453243,1,Everyone,1,Maps & Navigation,42614,8514,15378,28110,215421,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
Venmo,4.179566,693797,48783159,0,Everyone,0,Finance,101660,17087,21090,69124,484832,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1
Video Player All Format Hd,4.18,4476,2186395,0,Everyone,1,Video Players & Editors,577,24,336,481,2984,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
MangaToon - Manga Reader,4.180759,663243,37877823,1,Teen,1,Comics,78107,23672,43906,72021,445501,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
Zoom - One Platform to Connect,4.185785,4097624,1017653931,1,Everyone,0,Business,479789,150715,240300,484365,2742412,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1
Twisted Tangle,4.1893806,67610,3355371,1,Teen,1,Puzzle,5860,2149,7533,9810,42238,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
Minimal Watch Face by HuskyDEV,4.1904764,149,28023,1,Everyone,1,Personalization,18,0,6,18,99,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Reload Rush,4.1904764,18267,4081316,1,Everyone 10+,1,Action,1668,1300,1055,2045,12177,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
Paramount+ | Peak Streaming,4.190913,324412,28793227,1,Teen,1,Entertainment,40004,12302,13790,37967,220345,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
Plants vs. Zombies™,4.191234,5633208,479526321,1,Everyone 10+,1,Strategy,668367,213237,324734,593225,3833617,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Princesses - Enchanted Castle,4.1923075,3277,3252655,1,Everyone,1,Educational,598,0,29,186,2452,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TIMEFLIK Watch Face,4.195298,54890,8404478,1,Everyone,1,Personalization,6741,1485,2084,8526,36021,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
Tiles Hop: EDM Rush Music Ball,4.196031,3285408,543538199,1,Teen,1,Music,391718,112326,201374,334656,2245295,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
BoostOne,4.1977077,88895,1526699,0,Everyone,1,Communication,8581,2517,7327,14782,55683,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Parking Jam 3D,4.1984177,1489938,128008884,1,Everyone,1,Puzzle,87070,63552,203349,248651,887303,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clean Digital,4.2,89,21103,0,Everyone,0,Personalization,9,0,4,9,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Facer Watch Faces,4.2032943,143588,12741087,1,Everyone,1,Personalization,16457,4339,7969,19600,95215,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
Genshin Impact,4.206916,4193872,80357924,1,Teen,0,Adventure,568525,106604,169995,392131,2956583,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
FlipaClip: Create 2D Animation,4.208708,610611,49738315,1,Everyone,1,Art & Design,53396,21942,52783,98142,384322,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
Coloring & Learn,4.2158895,242623,150769529,1,Everyone,1,Educational,23449,15074,12562,25962,165489,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scrabble® GO-Classic Word Game,4.2177477,474905,28456875,1,Everyone,1,Word,44871,21069,31620,65535,311795,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Hero Wars – Fantasy Battles,4.2178087,1537590,99210218,1,Teen,1,Role Playing,173929,32131,71685,267185,992649,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Melon Playground Mods,4.2178216,3919,177528,0,Everyone,1,Libraries & Demo,464,116,190,464,2674,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
PicSo – Customize Your AI Girl,4.219626,18813,1179182,1,Mature 17+,1,Art & Design,1786,497,1492,3045,11985,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Rainbow - Monsters Guys Aid,4.22,2896,684050,0,Everyone,1,Libraries & Demo,453,52,17,157,2163,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YouTube,4.2229943,149657636,14221237760,0,Teen,1,Video Players & Editors,18056559,4973007,7695648,13748175,105184209,0,1,1,1,0,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0
Imagine : AI Art Generator,4.223176,50137,4772886,1,Everyone,1,Art & Design,7046,1827,1018,3225,37009,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Amazon Prime Video,4.225566,3951981,563445254,1,Teen,1,Entertainment,410612,161556,217442,498508,2663836,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0
WhatsApp Business,4.226459,11255548,995318419,1,Everyone,0,Communication,1303012,484389,562821,915422,7989708,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0,1,1,1,0,1,1,1,1,0,0,1,0,1,0,0,0,1,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,1,1,1,1,1
"PayPal - Send, Shop, Manage",4.227313,2970154,314493266,0,Everyone,0,Finance,384950,72893,117191,302126,2092985,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0
My Disney Experience,4.227325,128696,7139487,0,Everyone,0,Travel & Local,12899,7002,6315,14195,88279,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,1,1,1,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0
Gear Proxy,4.2285714,7344,16229988,0,Everyone,1,Productivity,1110,57,274,418,5453,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paper Princess's Fantasy Life,4.23,7703,7362420,1,Everyone,1,Educational,1155,296,74,222,5925,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
SeatGeek – Tickets to Events,4.231094,28049,6021663,0,Everyone,0,Events,4295,322,570,2271,20586,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
PowerWasherMan - toilet clean,4.233645,1671,600631,1,Everyone 10+,1,Simulation,138,108,121,138,1151,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
My Talking Tom Friends,4.2354527,3368735,499494101,1,Everyone,1,Casual,376507,139429,183068,284951,2384691,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vidify: Status Video Maker,4.235955,844,1406574,1,Everyone,1,Video Players & Editors,93,46,28,65,600,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Stormshot: Skull Isle Odyssey,4.2380066,126146,9591657,1,Teen,0,Strategy,8275,2536,10773,33848,70704,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Rush Royale: Tower Defense TD,4.2383757,559786,36826262,1,Everyone,1,Strategy,54783,16129,32270,94224,362353,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Tetris®,4.2391596,263720,23212010,1,Everyone,1,Puzzle,21420,7975,20679,49658,163975,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Legend of Slime: Idle RPG War,4.2419534,132219,10676637,1,Everyone 10+,1,Adventure,13718,3517,7992,18777,88190,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
CARFAX Find Used Cars for Sale,4.2429175,16786,4712124,0,Everyone,0,Auto & Vehicles,1780,677,727,2094,11503,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1
Health Tracker,4.243243,457,176769,0,Everyone,1,Health & Fitness,73,3,7,19,349,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0
TOP GUN - hybrid watch face,4.2442527,18672,560427,0,Everyone,0,Personalization,1394,857,1339,3271,11798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Tall Man Run,4.2447534,393828,99794927,1,Everyone 10+,1,Casual,38525,13426,30059,42873,268922,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Google Home,4.2468653,2079819,468764306,0,Everyone,0,Lifestyle,194653,76904,114616,327807,1365829,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1
Mini Block Craft: Planet Craft,4.2469573,209035,41243365,1,Everyone,1,Adventure,23633,6985,11444,18972,147977,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Piano Game: Classic Music Song,4.248193,246464,76249664,1,Everyone,1,Music,26101,10085,13631,23106,173356,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Undawn,4.2492623,58860,2535905,1,Teen,0,Action,6551,1342,3471,6986,40497,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Yowin Play:Justplay money tree,4.25,893,599555,0,Everyone,1,Events,111,0,111,0,669,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Flower Watch Face,4.25,6014,435647,1,Everyone,1,Personalization,538,338,197,936,3998,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Skibidi War - Toilets Attack,4.25,20792,783817,1,Everyone,0,Casual,876,1631,1631,3853,12768,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
Paper Princess's Dream Castle,4.25,14664,8492114,1,Everyone,1,Educational,1592,461,838,1498,10244,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
BetterMe: Health Coaching,4.2505894,335405,29096540,1,Everyone,0,Health & Fitness,24186,10272,28082,67603,205243,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
Text Me: Second Phone Number,4.2515163,516298,46564476,1,Everyone,1,Social,61618,10989,23725,59537,360422,0,1,1,0,0,0,0,0,0,1,1,1,0,1,0,1,1,0,1,0,1,1,1,0,0,1,1,1,0,0,1,0,1,1,0,0,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1
OctaApp – Donate Blood Plasma!,4.252066,2428,538237,0,Everyone,0,Medical,270,99,99,229,1725,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
Google Earth,4.254265,2928242,495458864,0,Everyone,0,Travel & Local,298467,91372,182526,350626,2005233,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0
Remini - AI Photo Enhancer,4.255345,2784207,181877740,1,Everyone,1,Photography,346457,81943,108900,223486,2023250,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Chispa: Dating App for Latinos,4.255442,88284,3524013,1,Mature 17+,1,Dating,9193,2589,5754,9671,61071,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
Google Wallet,4.255458,1429805,656582230,0,Everyone,0,Finance,158193,42563,81812,140442,1006783,0,1,1,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0
TUDN: TU Deportes Network,4.256228,103569,8112938,0,Everyone 10+,1,Sports,11868,2437,4490,13263,71508,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
LinkedIn: Jobs & Business News,4.258003,2642129,1311866992,1,Everyone,1,Business,260198,93107,162997,314314,1811496,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0
KakaoTalk : Messenger,4.2592278,3164732,234220816,1,Teen,1,Communication,354026,85869,157171,356256,2211374,0,1,1,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,1,0,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,0,1
Mob Control,4.259383,259985,60559834,1,Everyone,0,Arcade,23903,10162,11900,42605,171397,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thief Puzzle: to pass a level,4.261292,239754,154294333,1,Everyone,1,Puzzle,23163,8492,16028,26862,165178,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
